locus tag	pan locus tag	pan gene symbol
SAOUHSC_00549	SAUPAN002343000	folE2
SAOUHSC_00550	SAUPAN002344000	bshB2
SAOUHSC_00551	SAUPAN002345000	-
SAOUHSC_00552	SAUPAN002346000	nagB
SAOUHSC_00553	SAUPAN002347000	hxlA
SAOUHSC_00554	SAUPAN002348000	hxlB
SAOUHSC_00555	SAUPAN002349000	-
S198		-
S199		-
S200		-
SAOUHSC_00556	SAUPAN002350000	proP
S201		-
SAOUHSC_00557	SAUPAN002352000	vraA
SAOUHSC_00558	SAUPAN002353000	vraB
S202		-
SAOUHSC_00559	SAUPAN002354000	vraC
SAOUHSC_00560	SAUPAN002355000	-
S203		-
SAOUHSC_00561	SAUPAN002356000	vraX
S204		-
S205		-
SAOUHSC_00562	SAUPAN002357000	pdxK
SAOUHSC_00564	SAUPAN002359000	ung
SAOUHSC_00565	SAUPAN002360000	-
S206		-
SAOUHSC_00567	SAUPAN002361000	-
S207		-
SAOUHSC_00569	SAUPAN002362000	-
S208		-
SAOUHSC_00571	SAUPAN002363000	-
SAOUHSC_00572	SAUPAN002364000	-
S209		-
S210		-
S211		-
SAOUHSC_00573	SAUPAN002367000	hemQ
SAOUHSC_00574	SAUPAN002368000	pta
S212		-
SAOUHSC_00575	SAUPAN002369000	lipL
S213		-
S214		-
SAOUHSC_00577	SAUPAN002371000	mvaK1
SAOUHSC_00578	SAUPAN002372000	mvaD
SAOUHSC_00579	SAUPAN002373000	mvaK2
S215		-
SAOUHSC_00580	SAUPAN002374000	-
SAOUHSC_00581	SAUPAN002375000	merA
SAOUHSC_00582	SAUPAN002438000	hypR
SAOUHSC_00583	SAUPAN002440000	-
S216		-
SAOUHSC_00584	SAUPAN002442000	tspA
S217		-
SAOUHSC_00585	SAUPAN002446000	tsaI
S218		-
SAOUHSC_00586	SAUPAN002451000	-
S219		-
SAOUHSC_00587	SAUPAN002447000	-
SAOUHSC_00588	SAUPAN002453000	-
SAOUHSC_00589	SAUPAN002456000	-
SAOUHSC_00591	SAUPAN002458000	-
SAOUHSC_00592	SAUPAN002449000	-
SAOUHSC_00593	SAUPAN002448000	-
SAOUHSC_00596	SAUPAN002460000	-
SAOUHSC_00598	SAUPAN002450000	-
SAOUHSC_00599	SAUPAN002444000	-
SAOUHSC_00600	SAUPAN002455000	-
SAOUHSC_00602	SAUPAN002445000	-
SAOUHSC_00603	SAUPAN002463000	iolS
S220		-
SAOUHSC_00604	SAUPAN002466000	-
SAOUHSC_00605	SAUPAN002467000	-
SAOUHSC_00606	SAUPAN002468000	-
SAOUHSC_00607	SAUPAN002469000	-
S221		-
SAOUHSC_00608	SAUPAN002470000	adh1
SAOUHSC_00609	SAUPAN002471000	-
S222		-
SAOUHSC_00610	SAUPAN002472000	-
SAOUHSC_00611	SAUPAN002473000	argS
SAOUHSC_00612	SAUPAN002475000	-
S223		-
SAOUHSC_00613	SAUPAN002476000	-
SAOUHSC_00614	SAUPAN002477000	-
SAOUHSC_00615	SAUPAN002478000	-
SAOUHSC_00616	SAUPAN002479000	-
SAOUHSC_00617	SAUPAN002480000	-
S224		-
SAOUHSC_00618	SAUPAN002481000	-
SAOUHSC_00619	SAUPAN002483000	-
S225		-
S226		-
SAOUHSC_00620	SAUPAN002485000	sarA
S227		-
S228		-
S229		-
SAOUHSC_00621	SAUPAN002488000	-
SAOUHSC_00622	SAUPAN002490000	-
S230		-
SAOUHSC_00624	SAUPAN002492000	-
SAOUHSC_00625	SAUPAN002493000	mnhA2
SAOUHSC_00626	SAUPAN002495000	mnhB2
SAOUHSC_00627	SAUPAN002496000	mnhC2
SAOUHSC_00628	SAUPAN002497000	mnhD2
SAOUHSC_00629	SAUPAN002498000	mnhE2
SAOUHSC_00630.1	SAUPAN002500000	mnhF2
SAOUHSC_00632	SAUPAN002501000	mnhG2
S232		-
SAOUHSC_00633	SAUPAN002502000	-
S233		-
S234		-
SAOUHSC_00634	SAUPAN002507000	mntC
SAOUHSC_00636	SAUPAN002508000	mntB
SAOUHSC_00637	SAUPAN002509000	mntA
SAOUHSC_00638	SAUPAN002510000	mntR
S235		-
SAOUHSC_00639	SAUPAN002511000	-
SAOUHSC_00640	SAUPAN002512000	tagA
SAOUHSC_00641	SAUPAN002513000	tagH
S236		-
S237		-
S238		-
SAOUHSC_00642	SAUPAN002514000	tagG
SAOUHSC_00643	SAUPAN002515000	tagB
SAOUHSC_00644	SAUPAN002517000	tagX
SAOUHSC_00645	SAUPAN002518000	tagD
SAOUHSC_00646	SAUPAN002519000	pbp4
S239		-
S240		-
SAOUHSC_00647	SAUPAN002520000	abcA
S241		-
S242		-
SAOUHSC_00648	SAUPAN002522000	nupG
S243		-
SAOUHSC_00650	SAUPAN002523000	-
SAOUHSC_00651	SAUPAN002524000	-
S244		-
SAOUHSC_00652	SAUPAN002525000	fhuC
SAOUHSC_00653	SAUPAN002526000	fhuB
SAOUHSC_00654	SAUPAN002527000	fhuG
SAOUHSC_00655	SAUPAN002528000	dhaK
SAOUHSC_00656	SAUPAN002529000	dhaL
SAOUHSC_00658	SAUPAN002530000	dhaM
SAOUHSC_00659	SAUPAN002531000	-
S245		-
SAOUHSC_00660	SAUPAN002532000	-
S246		-
SAOUHSC_00661	SAUPAN002533000	gehE
S247		-
SAOUHSC_A00635	SAUPAN002534000	-
S248		-
SAOUHSC_00662	SAUPAN002535000	-
S249		-
S250		-
SAOUHSC_00663	SAUPAN002536000	-
S251		-
SAOUHSC_00664	SAUPAN002537000	graX
SAOUHSC_00665	SAUPAN002538000	graR
SAOUHSC_00666	SAUPAN002539000	graS
S252		-
SAOUHSC_00667	SAUPAN002540000	vraF
SAOUHSC_00668	SAUPAN002541000	vraG
S253		-
SAOUHSC_00669	SAUPAN002543000	pitR
SAOUHSC_00670	SAUPAN002544000	pitA
S254		-
SAOUHSC_00671	SAUPAN002545000	-
S255		-
S256		-
SAOUHSC_00672	SAUPAN002546000	-
S257		-
SAOUHSC_00673	SAUPAN002547000	rbf
S258		-
SAOUHSC_00674	SAUPAN002548000	sarX
SAOUHSC_00675	SAUPAN002549000	-
SAOUHSC_00676	SAUPAN002550000	-
SAOUHSC_00677	SAUPAN002552000	-
S259		-
SAOUHSC_00678	SAUPAN002553000	-
S260		-
SAOUHSC_00679	SAUPAN002554000	ccpE
SAOUHSC_00680	SAUPAN002555000	-
SAOUHSC_00681	SAUPAN002556000	-
SAOUHSC_00682	SAUPAN002557000	-
SAOUHSC_00683	SAUPAN002559000	-
S261		-
SAOUHSC_00684	SAUPAN002560000	-
SAOUHSC_00685	SAUPAN002561000	-
S262		-
SAOUHSC_00686	SAUPAN002562000	-
S263		-
SAOUHSC_00687	SAUPAN002563000	-
SAOUHSC_00688	SAUPAN002564000	-
SAOUHSC_00689	SAUPAN002565000	-
SAOUHSC_00690	SAUPAN002566000	-
SAOUHSC_00691	SAUPAN002567000	uppP
SAOUHSC_00692	SAUPAN002568000	cydD
SAOUHSC_00693	SAUPAN002569000	cydC
S264		-
S265		-
SAOUHSC_00694	SAUPAN002570000	mgrA
S266		-
SAOUHSC_00695	SAUPAN002571000	-
S267		-
SAOUHSC_00696	SAUPAN002572000	-
SAOUHSC_00697	SAUPAN002573000	-
SAOUHSC_00698	SAUPAN002574000	-
S268		-
SAOUHSC_00699	SAUPAN002575000	-
S269		-
SAOUHSC_00700	SAUPAN002576000	-
SAOUHSC_00701	SAUPAN002577000	-
S270		-
SAOUHSC_00702	SAUPAN002578000	-
S271		-
SAOUHSC_00703	SAUPAN002579000	norA
S272		-
SAOUHSC_00704	SAUPAN002580000	-
SAOUHSC_00705	SAUPAN002581000	-
SAOUHSC_00706	SAUPAN002582000	fruR
SAOUHSC_00707	SAUPAN002583000	fruB
SAOUHSC_00708	SAUPAN002584000	fruA
S273		-
SAOUHSC_00709	SAUPAN002585000	-
SAOUHSC_00710	SAUPAN002586000	nagA
S274		-
S275		-
SAOUHSC_00711	SAUPAN002587000	mpfA
SAOUHSC_00712	SAUPAN002588000	-
S276		-
SAOUHSC_00713	SAUPAN002589000	csbB
SAOUHSC_00714	SAUPAN002590000	saeS
SAOUHSC_00715	SAUPAN002591000	saeR
SAOUHSC_00716	SAUPAN002593000	saeQ
S277		-
S278		-
SAOUHSC_00717	SAUPAN002594000	saeP
SAOUHSC_00718	SAUPAN002595000	-
SAOUHSC_00719	SAUPAN002596000	queE
SAOUHSC_00720	SAUPAN002597000	queD
SAOUHSC_00721	SAUPAN002598000	queC
S279		-
SAOUHSC_00722	SAUPAN002599000	pabA
SAOUHSC_00723	SAUPAN002600000	pabB
SAOUHSC_00724	SAUPAN002601000	pabC
SAOUHSC_00725	SAUPAN002602000	-
S280		-
SAOUHSC_00726	SAUPAN002603000	-
SAOUHSC_00727	SAUPAN002604000	-
S281		-
S282		-
SAOUHSC_00728	SAUPAN002605000	ltaS
SAOUHSC_A00703	SAUPAN002606000	-
SAOUHSC_00729	SAUPAN002607000	-
SAOUHSC_00730	SAUPAN002608000	recQ1
SAOUHSC_00731	SAUPAN002609000	opuBA
SAOUHSC_00732	SAUPAN002610000	opuBB
SAOUHSC_00733	SAUPAN002611000	hisC
S283		-
SAOUHSC_00734	SAUPAN002614000	-
S284		-
SAOUHSC_00735	SAUPAN002617000	-
S285		-
S286		-
S287		-
SAOUHSC_00736	SAUPAN002621000	bmrU
SAOUHSC_00737	SAUPAN002622000	-
SAOUHSC_00738	SAUPAN002623000	dtpT
S288		-
SAOUHSC_00739	SAUPAN002626000	queF
SAOUHSC_00740	SAUPAN002627000	-
S289		-
S290		-
S291		-
S292		-
SAOUHSC_00741	SAUPAN002629000	nrdI
SAOUHSC_00742	SAUPAN002630000	nrdE
S293		-
SAOUHSC_00743	SAUPAN002631000	nrdF
SAOUHSC_00744	SAUPAN002633000	-
SAOUHSC_00745	SAUPAN002634000	-
SAOUHSC_00746	SAUPAN002636000	sstA
SAOUHSC_00747	SAUPAN002638000	sstB
SAOUHSC_00748	SAUPAN002639000	sstC
S294		-
SAOUHSC_00749	SAUPAN002640000	sstD
S295		-
SAOUHSC_00751	SAUPAN002641000	-
SAOUHSC_00752	SAUPAN002642000	murB
S296		-
SAOUHSC_00753	SAUPAN002644000	-
SAOUHSC_00754	SAUPAN002645000	-
S297		-
SAOUHSC_00755	SAUPAN002647000	-
S298		-
S299		-
SAOUHSC_00756	SAUPAN002648000	-
S300		-
SAOUHSC_00757	SAUPAN002650000	pepT
SAOUHSC_00758	SAUPAN002651000	-
SAOUHSC_00759	SAUPAN002652000	-
SAOUHSC_00760	SAUPAN002653000	gdpS
S301		-
SAOUHSC_00762	SAUPAN002654000	tagO
SAOUHSC_00763	SAUPAN002655000	-
SAOUHSC_00764	SAUPAN002657000	fakB1
SAOUHSC_00765	SAUPAN002659000	comFA
SAOUHSC_00766	SAUPAN002660000	comFC
SAOUHSC_00767	SAUPAN002661000	saHPF
S302		-
S303		-
SAOUHSC_00769	SAUPAN002662000	secA
SAOUHSC_00770	SAUPAN002663000	-
S304		-
SAOUHSC_00771	SAUPAN002664000	prfB
SAOUHSC_00772	SAUPAN002668000	-
SAOUHSC_00773	SAUPAN002669000	-
SAOUHSC_00774	SAUPAN002670000	-
SAOUHSC_00775	SAUPAN002671000	csbA
S305		-
S306		-
SAOUHSC_00776	SAUPAN002672000	uvrB
S307		-
SAOUHSC_00778	SAUPAN002673000	-
S308		-
SAOUHSC_A00747	SAUPAN002674000	-
SAOUHSC_00779	SAUPAN002675000	uvrB2
SAOUHSC_00780	SAUPAN002676000	uvrA
SAOUHSC_00781	SAUPAN002679000	hprK
SAOUHSC_00782	SAUPAN002680000	lgt
SAOUHSC_00783	SAUPAN002681000	-
SAOUHSC_00784	SAUPAN002682000	-
SAOUHSC_00785	SAUPAN002684000	trxB
S309		-
SAOUHSC_00786	SAUPAN002685000	-
S310		-
SAOUHSC_00787	SAUPAN002689000	-
SAOUHSC_00788	SAUPAN002690000	-
S311		-
SAOUHSC_00789	SAUPAN002692000	whiA
S312		-
SAOUHSC_T0005	SAUPAN002693000	trnaR
S313		-
SAOUHSC_00790	SAUPAN002695000	clpP
S314		-
S315		-
SAOUHSC_00792	SAUPAN002697000	-
S316		-
S317		-
S318		-
S319		-
SAOUHSC_00793	SAUPAN002699000	-
S320		-
S321		-
S322		-
SAOUHSC_00794	SAUPAN002705000	gapR
SAOUHSC_00795	SAUPAN002706000	gapA
S323		-
SAOUHSC_00796	SAUPAN002707000	pgk
S324		-
SAOUHSC_00797	SAUPAN002708000	tpiA
SAOUHSC_00798	SAUPAN002709000	pgm
S325		-
SAOUHSC_00799	SAUPAN002710000	eno
S326		-
S327		-
SAOUHSC_00800	SAUPAN002711000	-
SAOUHSC_00801	SAUPAN002712000	secG
S328		-
SAOUHSC_00802	SAUPAN002713000	est
SAOUHSC_00803	SAUPAN002714000	rnr
SAOUHSC_00804	SAUPAN002715000	smpB
S329	SAUPAN002716000	tmRNA
SAOUHSC_00805	SAUPAN002768000	-
SAOUHSC_00806	SAUPAN002770000	-
SAOUHSC_00807	SAUPAN002771000	-
S330		-
SAOUHSC_00808	SAUPAN002772000	-
S331		-
SAOUHSC_00809	SAUPAN002776000	-
SAOUHSC_00810	SAUPAN002777000	-
S332		-
SAOUHSC_00811	SAUPAN002778000	-
S333		-
SAOUHSC_00812	SAUPAN002779000	clfA
SAOUHSC_00813	SAUPAN002788000	-
SAOUHSC_00814	SAUPAN002791000	vwb
S334		-
SAOUHSC_00816	SAUPAN002796000	emp
S335		-
SAOUHSC_00817	SAUPAN002797000	-
S336		-
SAOUHSC_00818	SAUPAN002800000	nuc
S337		-
SAOUHSC_00819	SAUPAN002802000	cspC
S338		-
S339		-
SAOUHSC_00820	SAUPAN002803000	-
SAOUHSC_00821	SAUPAN002804000	-
SAOUHSC_00822	SAUPAN002805000	lnsA
S340		-
SAOUHSC_00823	SAUPAN002806000	-
SAOUHSC_00824	SAUPAN002807000	-
S341		-
S342		-
SAOUHSC_00825	SAUPAN002809000	-
SAOUHSC_00826	SAUPAN002810000	-
S343		-
S344		-
SAOUHSC_00827	SAUPAN002811000	-
SAOUHSC_00828	SAUPAN002812000	-
SAOUHSC_00830	SAUPAN002813000	-
S345		-
SAOUHSC_00831	SAUPAN002816000	ohr
SAOUHSC_00832	SAUPAN002817000	aroD
SAOUHSC_00833	SAUPAN002818000	ntrA
SAOUHSC_00834	SAUPAN002819000	-
SAOUHSC_00835	SAUPAN002820000	-
S346		-
SAOUHSC_00836	SAUPAN002821000	gcvH
SAOUHSC_00837	SAUPAN002822000	-
SAOUHSC_00838	SAUPAN002823000	-
S347		-
SAOUHSC_00839	SAUPAN002834000	-
S348		-
SAOUHSC_00840	SAUPAN002835000	-
SAOUHSC_00841	SAUPAN002836000	-
S349		-
SAOUHSC_00842	SAUPAN002838000	metN
SAOUHSC_00843	SAUPAN002839000	metP
SAOUHSC_00844	SAUPAN002840000	metQ
S350		-
SAOUHSC_00845	SAUPAN002892000	-
S351		-
SAOUHSC_00846	SAUPAN002893000	-
S352		-
S353		-
SAOUHSC_00847	SAUPAN002894000	sufC
S354		-
SAOUHSC_00848	SAUPAN002895000	sufD
S355		-
SAOUHSC_00849	SAUPAN002897000	sufS
SAOUHSC_00850	SAUPAN002898000	sufU
S356		-
SAOUHSC_00851	SAUPAN002899000	sufB
S357		-
SAOUHSC_00852	SAUPAN003012000	-
SAOUHSC_00853	SAUPAN003014000	-
SAOUHSC_00854	SAUPAN003015000	mpfB
SAOUHSC_00855	SAUPAN003016000	-
SAOUHSC_00857	SAUPAN003018000	-
SAOUHSC_00858	SAUPAN003019000	-
SAOUHSC_00859	SAUPAN003020000	-
SAOUHSC_00860	SAUPAN003021000	-
SAOUHSC_00861	SAUPAN003022000	lipA
S358		-
SAOUHSC_00862	SAUPAN003023000	-
SAOUHSC_00863	SAUPAN003024000	-
SAOUHSC_00864	SAUPAN003026000	-
SAOUHSC_00865	SAUPAN003027000	nagD
S359		-
SAOUHSC_00866	SAUPAN003028000	-
S360		-
SAOUHSC_00867	SAUPAN003029000	-
SAOUHSC_00868	SAUPAN003030000	dltX
SAOUHSC_00869	SAUPAN003031000	dltA
SAOUHSC_00870	SAUPAN003032000	dltB
SAOUHSC_00871	SAUPAN003033000	dltC
SAOUHSC_00872	SAUPAN003034000	dltD
SAOUHSC_00873	SAUPAN003035000	nfu
SAOUHSC_00874	SAUPAN003036000	-
SAOUHSC_00875	SAUPAN003037000	-
S361		-
SAOUHSC_00876	SAUPAN003038000	-
SAOUHSC_00877	SAUPAN003039000	sufA
S362		-
S363		-
SAOUHSC_00878	SAUPAN003040000	ndh2
SAOUHSC_00879	SAUPAN003041000	pepZ
SAOUHSC_00880	SAUPAN003043000	-
SAOUHSC_00881	SAUPAN003044000	-
SAOUHSC_00882	SAUPAN003046000	-
SAOUHSC_00883	SAUPAN003047000	mnhG
SAOUHSC_00884	SAUPAN003048000	mnhF
SAOUHSC_00885	SAUPAN003049000	mnhE
SAOUHSC_00886	SAUPAN003050000	mnhD
SAOUHSC_00887	SAUPAN003051000	mnhC
SAOUHSC_00888	SAUPAN003052000	mnhB
SAOUHSC_00889	SAUPAN003053000	mnhA
S364		-
SAOUHSC_00890	SAUPAN003054000	kapB
SAOUHSC_00891	SAUPAN003055000	ppiB
S365		-
S366		-
SAOUHSC_00892	SAUPAN003057000	-
S367		-
SAOUHSC_00893	SAUPAN003058000	-
S368		-
SAOUHSC_00894	SAUPAN003059000	rocD
S369		-
SAOUHSC_00895	SAUPAN003060000	gudB
SAOUHSC_00896	SAUPAN003064000	-
SAOUHSC_00897	SAUPAN003065000	glpQ
SAOUHSC_00898	SAUPAN003067000	argH
SAOUHSC_00899	SAUPAN003068000	argG
SAOUHSC_00900	SAUPAN003070000	pgi
S370		-
S371		-
SAOUHSC_00901	SAUPAN003072000	-
SAOUHSC_00902	SAUPAN003073000	spsA
S372		-
SAOUHSC_00903	SAUPAN003074000	spsB
SAOUHSC_00904	SAUPAN003076000	addB
SAOUHSC_00905	SAUPAN003077000	addA
S373		-
SAOUHSC_00906	SAUPAN003078000	-
S374		-
SAOUHSC_00907	SAUPAN003080000	-
SAOUHSC_00908	SAUPAN003107000	cdr
SAOUHSC_00909	SAUPAN003108000	-
S375		-
S376		-
SAOUHSC_00910	SAUPAN003109000	sufT
S377		-
SAOUHSC_00911	SAUPAN003111000	-
S378		-
S379		-
SAOUHSC_00912	SAUPAN003113000	clpB
S380		-
SAOUHSC_00913	SAUPAN003114000	-
SAOUHSC_00914	SAUPAN003116000	-
SAOUHSC_00915	SAUPAN003119000	-
SAOUHSC_00916	SAUPAN003121000	-
SAOUHSC_00917	SAUPAN003123000	-
S381		-
SAOUHSC_00918	SAUPAN003124000	-
SAOUHSC_00919	SAUPAN003126000	-
SAOUHSC_00920	SAUPAN003127000	fabH
SAOUHSC_00921	SAUPAN003128000	fabF
SAOUHSC_00922	SAUPAN003129000	-
S382		-
SAOUHSC_00923	SAUPAN003133000	opp-3B
SAOUHSC_00924	SAUPAN003134000	opp-3C
SAOUHSC_00925	SAUPAN003135000	opp-3D
SAOUHSC_00926	SAUPAN003136000	opp-3F
SAOUHSC_00927	SAUPAN003137000	opp-3A
SAOUHSC_00928	SAUPAN003146000	opp-4A
SAOUHSC_00929	SAUPAN003149000	opp-4D
SAOUHSC_00930	SAUPAN003151000	opp-4F
SAOUHSC_00931	SAUPAN003152000	opp-4B
SAOUHSC_00932	SAUPAN003156000	opp-4C
SAOUHSC_00933	SAUPAN003163000	trpS
S383		-
S384		-
SAOUHSC_00934	SAUPAN003164000	spxA
S385		-
S386		-
S387		-
SAOUHSC_00935	SAUPAN003168000	trfA
SAOUHSC_00936	SAUPAN003170000	trfB
SAOUHSC_00937	SAUPAN003171000	pepF
S388		-
S389		-
S390		-
SAOUHSC_00938	SAUPAN003173000	yjbH
SAOUHSC_00939	SAUPAN003174000	yjbI
S391		-
SAOUHSC_00940	SAUPAN003175000	-
SAOUHSC_00941	SAUPAN003176000	-
SAOUHSC_00942	SAUPAN003177000	relQ
SAOUHSC_00943	SAUPAN003178000	ppnK
SAOUHSC_00944	SAUPAN003179000	-
SAOUHSC_00945	SAUPAN003180000	mgtE
SAOUHSC_00946	SAUPAN003181000	cpaA
S392		-
S393		-
SAOUHSC_00947	SAUPAN003184000	fabI
SAOUHSC_00948	SAUPAN003186000	cozEa
SAOUHSC_00949	SAUPAN003187000	-
S394		-
SAOUHSC_00950	SAUPAN003188000	-
SAOUHSC_00951	SAUPAN003192000	-
S395		-
SAOUHSC_00952	SAUPAN003193000	ltaA
SAOUHSC_00953	SAUPAN003195000	ugtP
S396		-
S397		-
SAOUHSC_00954	SAUPAN003196000	murE
SAOUHSC_00955	SAUPAN003197000	-
SAOUHSC_00956	SAUPAN003199000	prfC
S398		-
S399		-
SAOUHSC_00957	SAUPAN003201000	-
SAOUHSC_00958	SAUPAN003203000	htrA2
SAOUHSC_00959	SAUPAN003205000	ktrD
SAOUHSC_00960	SAUPAN003206000	-
SAOUHSC_T00049	SAUPAN003207000	trnaS
SAOUHSC_T0008	SAUPAN003209000	trnaN
SAOUHSC_00961	SAUPAN003211000	comK1
S400		-
SAOUHSC_00962	SAUPAN003212000	-
SAOUHSC_00963	SAUPAN003213000	lplA1
SAOUHSC_00964	SAUPAN003214000	-
SAOUHSC_00965	SAUPAN003215000	-
S401		-
S402		-
SAOUHSC_00966	SAUPAN003218000	-
SAOUHSC_00967	SAUPAN003219000	-
S403		-
SAOUHSC_00968	SAUPAN003223000	-
SAOUHSC_00969	SAUPAN003224000	-
SAOUHSC_00970	SAUPAN003225000	-
SAOUHSC_00971	SAUPAN003229000	-
SAOUHSC_00972	SAUPAN003232000	-
SAOUHSC_00973	SAUPAN003234000	tarM
SAOUHSC_00975	SAUPAN003236000	-
SAOUHSC_00976	SAUPAN003237000	-
SAOUHSC_00977	SAUPAN003239000	-
SAOUHSC_00978	SAUPAN003240000	-
SAOUHSC_00979	SAUPAN003241000	-
SAOUHSC_00980	SAUPAN003242000	menA
S404		-
SAOUHSC_00981	SAUPAN003243000	-
S405		-
SAOUHSC_00982	SAUPAN003244000	menF
SAOUHSC_00983	SAUPAN003246000	menD
SAOUHSC_00984	SAUPAN003247000	menH
SAOUHSC_00985	SAUPAN003248000	menB
SAOUHSC_00986	SAUPAN003249000	sspC
SAOUHSC_00987	SAUPAN003250000	sspB
SAOUHSC_00988	SAUPAN003251000	sspA
SAOUHSC_00989	SAUPAN003254000	patA
SAOUHSC_00991	SAUPAN003257000	-
SAOUHSC_00992	SAUPAN003258000	-
SAOUHSC_00993	SAUPAN003259000	-
SAOUHSC_00994	SAUPAN003260000	atl
S406		-
SAOUHSC_00995	SAUPAN003261000	-
SAOUHSC_00996	SAUPAN003263000	-
SAOUHSC_00997	SAUPAN003264000	-
S407		-
S408		-
SAOUHSC_00998	SAUPAN003266000	fmtA
SAOUHSC_00999	SAUPAN003267000	qoxD
SAOUHSC_01000	SAUPAN003268000	qoxC
SAOUHSC_01001	SAUPAN003269000	qoxB
SAOUHSC_01002	SAUPAN003270000	qoxA
SAOUHSC_01003	SAUPAN003272000	-
SAOUHSC_01005	SAUPAN003273000	-
S409		-
S410		-
S411		-
SAOUHSC_01007	SAUPAN003276000	folD
S412		-
S413		-
SAOUHSC_01008	SAUPAN003277000	purE
SAOUHSC_01009	SAUPAN003278000	purK
SAOUHSC_01010	SAUPAN003279000	purC
SAOUHSC_01011	SAUPAN003280000	purS
SAOUHSC_01012	SAUPAN003281000	purQ
SAOUHSC_01013	SAUPAN003282000	purL
SAOUHSC_01014	SAUPAN003283000	purF
SAOUHSC_01015	SAUPAN003284000	purM
SAOUHSC_01016	SAUPAN003285000	purN
SAOUHSC_01017	SAUPAN003286000	purH
SAOUHSC_01018	SAUPAN003287000	purD
S414		-
S415		-
SAOUHSC_01019	SAUPAN003289000	thiX
SAOUHSC_01021	SAUPAN003291000	thiW
SAOUHSC_01022	SAUPAN003292000	thiV
S416		-
SAOUHSC_01023	SAUPAN003294000	-
SAOUHSC_01024	SAUPAN003298000	graF
S417		-
SAOUHSC_01025	SAUPAN003299000	-
S418		-
SAOUHSC_01026	SAUPAN003301000	-
SAOUHSC_01027	SAUPAN003302000	-
S419		-
SAOUHSC_01028	SAUPAN003303000	ptsH
SAOUHSC_01029	SAUPAN003304000	ptsI
S420		-
SAOUHSC_01030	SAUPAN003305000	-
SAOUHSC_01031	SAUPAN003306000	cydA
SAOUHSC_01032	SAUPAN003307000	cydB
S421		-
SAOUHSC_01034	SAUPAN003308000	ktrA
SAOUHSC_A00992	SAUPAN003310000	-
S422		-
SAOUHSC_01035	SAUPAN003312000	rnjA
SAOUHSC_01036	SAUPAN003313000	rpoY
SAOUHSC_01037	SAUPAN003314000	-
SAOUHSC_01038	SAUPAN003315000	def
S423		-
S424		-
SAOUHSC_01039	SAUPAN003316000	-
S425		-
SAOUHSC_01040	SAUPAN003317000	pdhA
SAOUHSC_01041	SAUPAN003318000	pdhB
S426		-
SAOUHSC_01042	SAUPAN003319000	pdhC
SAOUHSC_01043	SAUPAN003320000	pdhD
S427		-
SAOUHSC_01044	SAUPAN003321000	-
S428		-
SAOUHSC_01045	SAUPAN003322000	-
SAOUHSC_01046	SAUPAN003323000	potA
SAOUHSC_01047	SAUPAN003324000	potB
SAOUHSC_01048	SAUPAN003325000	potC
SAOUHSC_01049	SAUPAN003326000	potD
SAOUHSC_01050	SAUPAN003327000	-
S429		-
SAOUHSC_01051	SAUPAN003329000	-
S430		-
SAOUHSC_01053	SAUPAN003331000	mntH
SAOUHSC_01054	SAUPAN003332000	-
SAOUHSC_01055	SAUPAN003333000	imp
SAOUHSC_01055a		-
SAOUHSC_01058	SAUPAN003336000	typA
S432		-
SAOUHSC_01060	SAUPAN003337000	-
SAOUHSC_01061	SAUPAN003338000	-
SAOUHSC_01062	SAUPAN003339000	ylaN
S433		-
S434		-
SAOUHSC_01063	SAUPAN003340000	ftsW
S435		-
S436		-
SAOUHSC_01064	SAUPAN003341000	pycA
SAOUHSC_01065	SAUPAN003342000	ctaA
S437		-
S438		-
SAOUHSC_01066	SAUPAN003343000	ctaB
SAOUHSC_01067	SAUPAN003344000	ctaM
S439		-
SAOUHSC_01068	SAUPAN003345000	-
SAOUHSC_01069	SAUPAN003346000	-
SAOUHSC_01070	SAUPAN003347000	-
SAOUHSC_01071	SAUPAN003348000	-
S441		-
SAOUHSC_01072	SAUPAN003349000	-
S442		-
SAOUHSC_01073	SAUPAN003350000	-
SAOUHSC_01074	SAUPAN003351000	rsmD
SAOUHSC_01075	SAUPAN003352000	coaD
S443		-
SAOUHSC_01076	SAUPAN003353000	-
SAOUHSC_01077	SAUPAN003354000	-
SAOUHSC_A01041	SAUPAN003355000	-
S444		-
SAOUHSC_01078	SAUPAN003356000	rpmF
SAOUHSC_01079	SAUPAN003358000	isdB
SAOUHSC_01081	SAUPAN003359000	isdA
S446		-
SAOUHSC_01082	SAUPAN003360000	isdC
SAOUHSC_01084	SAUPAN003362000	isdD
SAOUHSC_01085	SAUPAN003363000	isdE
SAOUHSC_01086	SAUPAN003364000	isdF
SAOUHSC_01087	SAUPAN003365000	-
S447		-
SAOUHSC_01088	SAUPAN003367000	srtB
SAOUHSC_01089	SAUPAN003368000	isdG
SAOUHSC_01090	SAUPAN003369000	-
S448		-
S449		-
SAOUHSC_01091	SAUPAN003372000	-
S450		-
S451		-
SAOUHSC_01092	SAUPAN003374000	pheS
SAOUHSC_01093	SAUPAN003375000	pheT
SAOUHSC_01095	SAUPAN003376000	rnhC
S452		-
SAOUHSC_01096	SAUPAN003379000	zapA
SAOUHSC_01097	SAUPAN003380000	-
SAOUHSC_01098	SAUPAN003381000	polX
SAOUHSC_01099	SAUPAN003382000	mutS2
S453		-
