# Program:featureCounts v1.6.3; Command:"featureCounts" "--extraAttributes" "Name" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "3" "-a" "tmp/reference.gff" "-o" "tmp/counts.txt" "tmp/mapped_reads/SRR10379721_mapped.sam" "tmp/mapped_reads/SRR10379722_mapped.sam" "tmp/mapped_reads/SRR10379723_mapped.sam" "tmp/mapped_reads/SRR10379724_mapped.sam" "tmp/mapped_reads/SRR10379725_mapped.sam" "tmp/mapped_reads/SRR10379726_mapped.sam" 
Geneid	Chr	Start	End	Strand	Length	Name	tmp/mapped_reads/SRR10379721_mapped.sam	tmp/mapped_reads/SRR10379722_mapped.sam	tmp/mapped_reads/SRR10379723_mapped.sam	tmp/mapped_reads/SRR10379724_mapped.sam	tmp/mapped_reads/SRR10379725_mapped.sam	tmp/mapped_reads/SRR10379726_mapped.sam
gene-SAOUHSC_00790	CP000253.1	772413	773000	+	588	SAOUHSC_00790	19174	15235	11461	16079	13389	1579
gene-SAOUHSC_00792	CP000253.1	773243	774145	-	903	SAOUHSC_00792	3515	3416	2461	15044	15984	4436
gene-SAOUHSC_00793	CP000253.1	774848	775477	+	630	SAOUHSC_00793	6315	6802	4690	24526	44754	15537
gene-SAOUHSC_00794	CP000253.1	776119	777132	+	1014	SAOUHSC_00794	38821	30586	24713	101899	74489	33455
gene-SAOUHSC_00795	CP000253.1	777185	778195	+	1011	SAOUHSC_00795	58028	47891	34787	300993	267062	93871
gene-SAOUHSC_00796	CP000253.1	778334	779524	+	1191	SAOUHSC_00796	14556	10670	8530	85494	81048	21419
gene-SAOUHSC_00797	CP000253.1	779646	780407	+	762	SAOUHSC_00797	14437	11782	9145	79133	89932	22622
gene-SAOUHSC_00798	CP000253.1	780410	781927	+	1518	SAOUHSC_00798	29029	22350	17653	147139	154437	86821
gene-SAOUHSC_00799	CP000253.1	782057	783361	+	1305	SAOUHSC_00799	39946	31368	21653	153937	148900	104091
gene-SAOUHSC_00800	CP000253.1	783701	784159	+	459	SAOUHSC_00800	3642	2707	3237	5197	5053	155
gene-SAOUHSC_00801	CP000253.1	784184	784459	+	276	SAOUHSC_00801	9404	8990	7148	8351	13540	5818
gene-SAOUHSC_00802	CP000253.1	784575	785315	+	741	SAOUHSC_00802	16299	17053	14723	9169	12632	1993
gene-SAOUHSC_00803	CP000253.1	785349	787721	+	2373	SAOUHSC_00803	71510	74542	62885	49281	56371	11358
gene-SAOUHSC_00804	CP000253.1	787743	788207	+	465	SAOUHSC_00804	15659	15599	13467	10736	14458	3402
gene-SAOUHSC_00805	CP000253.1	788981	789262	+	282	SAOUHSC_00805	218	152	170	185	184	13
gene-SAOUHSC_00806	CP000253.1	789529	789852	-	324	SAOUHSC_00806	1248	731	1310	332	536	46
gene-SAOUHSC_00807	CP000253.1	789868	790014	-	147	SAOUHSC_00807	887	503	655	213	245	51
gene-SAOUHSC_00808	CP000253.1	790206	790934	-	729	SAOUHSC_00808	2156	1340	1832	865	947	85
gene-SAOUHSC_00809	CP000253.1	791370	791525	+	156	SAOUHSC_00809	11	10	7	6	3	1
gene-SAOUHSC_00810	CP000253.1	791533	792054	+	522	SAOUHSC_00810	189	220	166	507	913	135
gene-SAOUHSC_00811	CP000253.1	792193	792723	+	531	SAOUHSC_00811	850	781	691	1590	2944	492
gene-SAOUHSC_00812	CP000253.1	792986	795769	+	2784	SAOUHSC_00812	115746	118126	74173	122982	112338	130685
gene-SAOUHSC_00813	CP000253.1	795990	796109	+	120	SAOUHSC_00813	149	131	109	170	75	20
gene-SAOUHSC_00814	CP000253.1	796163	797515	+	1353	SAOUHSC_00814	2867	1849	1889	2404	881	111
gene-SAOUHSC_00816	CP000253.1	797866	798888	+	1023	SAOUHSC_00816	1079	791	752	2066	1726	180
gene-SAOUHSC_00817	CP000253.1	799223	799693	+	471	SAOUHSC_00817	580	475	300	994	882	259
gene-SAOUHSC_00818	CP000253.1	800034	800720	+	687	SAOUHSC_00818	372	213	304	79	81	6
gene-SAOUHSC_00819	CP000253.1	801077	801277	+	201	SAOUHSC_00819	52982	38287	33128	91542	61427	14246
gene-SAOUHSC_00820	CP000253.1	801773	801991	-	219	SAOUHSC_00820	1869	1644	1406	3087	2732	276
gene-SAOUHSC_00821	CP000253.1	802053	802337	-	285	SAOUHSC_00821	974	974	739	1840	1672	206
gene-SAOUHSC_00822	CP000253.1	802425	802994	-	570	SAOUHSC_00822	593	544	421	974	1223	319
gene-SAOUHSC_00823	CP000253.1	803182	803370	-	189	SAOUHSC_00823	1039	792	997	2301	1963	227
gene-SAOUHSC_00824	CP000253.1	803399	803659	-	261	SAOUHSC_00824	995	752	825	2095	2745	316
gene-SAOUHSC_00825	CP000253.1	804000	804203	+	204	SAOUHSC_00825	11153	14044	8469	34740	56336	2818
gene-SAOUHSC_00826	CP000253.1	804200	804436	-	237	SAOUHSC_00826	3420	3536	2491	11324	12902	646
gene-SAOUHSC_00827	CP000253.1	804682	805242	+	561	SAOUHSC_00827	7180	5444	6496	1671	1401	456
gene-SAOUHSC_00828	CP000253.1	805315	805932	-	618	SAOUHSC_00828	1785	1375	1406	6136	5595	539
gene-SAOUHSC_00830	CP000253.1	806087	806581	-	495	SAOUHSC_00830	8499	6956	6866	7174	6329	464
gene-SAOUHSC_00831	CP000253.1	806980	807402	-	423	SAOUHSC_00831	2624	2943	1820	6430	7519	3527
gene-SAOUHSC_00832	CP000253.1	807550	808266	+	717	SAOUHSC_00832	1027	811	747	656	695	43
gene-SAOUHSC_00833	CP000253.1	808349	808888	+	540	SAOUHSC_00833	8774	6957	5891	4353	6563	1393
gene-SAOUHSC_00834	CP000253.1	809038	809358	-	321	SAOUHSC_00834	1737	1322	798	2733	2252	843
gene-SAOUHSC_00835	CP000253.1	809502	809858	+	357	SAOUHSC_00835	539	400	281	3173	5475	129
gene-SAOUHSC_00836	CP000253.1	810016	810396	+	381	SAOUHSC_00836	4367	3617	2711	11967	16617	1044
gene-SAOUHSC_00837	CP000253.1	810460	810573	+	114	SAOUHSC_00837	55	56	65	78	152	7
gene-SAOUHSC_00838	CP000253.1	810575	811453	+	879	SAOUHSC_00838	1777	1711	1296	1312	1249	129
gene-SAOUHSC_00839	CP000253.1	811872	811985	+	114	SAOUHSC_00839	240	208	174	184	203	61
gene-SAOUHSC_00840	CP000253.1	812195	812581	+	387	SAOUHSC_00840	1155	1122	833	1658	1462	228
gene-SAOUHSC_00841	CP000253.1	812574	812870	+	297	SAOUHSC_00841	564	615	510	1075	1214	157
gene-SAOUHSC_00842	CP000253.1	813120	814145	+	1026	SAOUHSC_00842	13683	10614	13206	30854	54293	11158
gene-SAOUHSC_00843	CP000253.1	814138	814833	+	696	SAOUHSC_00843	7323	5739	6695	10934	20506	3897
gene-SAOUHSC_00844	CP000253.1	814851	815672	+	822	SAOUHSC_00844	15595	11173	15853	16715	37196	3099
gene-SAOUHSC_00845	CP000253.1	816026	816220	+	195	SAOUHSC_00845	69354	54971	36983	122873	130021	5858
gene-SAOUHSC_00846	CP000253.1	816453	817304	-	852	SAOUHSC_00846	28400	30693	22122	15655	17750	5028
gene-SAOUHSC_00847	CP000253.1	817632	818393	+	762	SAOUHSC_00847	55197	57156	42768	26798	26421	6108
gene-SAOUHSC_00848	CP000253.1	818491	819798	+	1308	SAOUHSC_00848	105951	98967	79697	44233	37153	8516
gene-SAOUHSC_00849	CP000253.1	819904	821154	+	1251	SAOUHSC_00849	117569	109869	89983	45495	47230	19335
gene-SAOUHSC_00850	CP000253.1	821144	821608	+	465	SAOUHSC_00850	51937	50034	41121	18455	21091	7115
gene-SAOUHSC_00851	CP000253.1	821759	823156	+	1398	SAOUHSC_00851	129714	113163	97916	49946	61920	9548
gene-SAOUHSC_00852	CP000253.1	823343	823480	+	138	SAOUHSC_00852	118	81	129	221	340	16
gene-SAOUHSC_00853	CP000253.1	823486	823800	-	315	SAOUHSC_00853	148	110	139	305	202	18
gene-SAOUHSC_00854	CP000253.1	824165	825205	+	1041	SAOUHSC_00854	2135	1794	1343	6133	7007	1408
gene-SAOUHSC_00855	CP000253.1	825219	826286	+	1068	SAOUHSC_00855	1388	1182	860	3180	4149	2372
gene-SAOUHSC_00857	CP000253.1	826353	826451	+	99	SAOUHSC_00857	88	68	57	50	87	47
gene-SAOUHSC_00858	CP000253.1	826499	827347	+	849	SAOUHSC_00858	1162	895	625	1502	1754	131
gene-SAOUHSC_00859	CP000253.1	827360	828187	+	828	SAOUHSC_00859	747	517	464	995	1121	237
gene-SAOUHSC_00860	CP000253.1	828214	829533	+	1320	SAOUHSC_00860	2064	1613	1180	2694	3298	378
gene-SAOUHSC_00861	CP000253.1	829617	830534	+	918	SAOUHSC_00861	10382	9756	7164	17635	19017	4089
gene-SAOUHSC_00862	CP000253.1	830664	831047	+	384	SAOUHSC_00862	745	666	494	1373	1393	144
gene-SAOUHSC_00863	CP000253.1	831126	831392	-	267	SAOUHSC_00863	940	724	611	897	1035	49
gene-SAOUHSC_00864	CP000253.1	831490	831924	+	435	SAOUHSC_00864	430	373	306	944	1100	50
gene-SAOUHSC_00865	CP000253.1	831924	832703	+	780	SAOUHSC_00865	1094	814	752	2007	2049	340
gene-SAOUHSC_00866	CP000253.1	832811	833695	+	885	SAOUHSC_00866	2195	1750	1444	2941	3510	646
gene-SAOUHSC_00867	CP000253.1	833949	834059	+	111	SAOUHSC_00867	1	1	2	1	4	1
gene-SAOUHSC_00868	CP000253.1	834056	834259	+	204	SAOUHSC_00868	358	351	435	2263	8209	189
gene-SAOUHSC_00869	CP000253.1	834275	835732	+	1458	SAOUHSC_00869	12736	11238	8993	35705	53975	3372
gene-SAOUHSC_00870	CP000253.1	835729	836943	+	1215	SAOUHSC_00870	7314	5857	5800	14820	14813	651
gene-SAOUHSC_00871	CP000253.1	836961	837197	+	237	SAOUHSC_00871	1698	1323	1672	3091	5523	179
gene-SAOUHSC_00872	CP000253.1	837194	838369	+	1176	SAOUHSC_00872	12484	9655	9125	18417	19902	1039
gene-SAOUHSC_00873	CP000253.1	838632	838874	-	243	SAOUHSC_00873	7074	4439	4507	6275	5424	989
gene-SAOUHSC_00874	CP000253.1	838975	839298	+	324	SAOUHSC_00874	1167	614	902	472	498	56
gene-SAOUHSC_00875	CP000253.1	839357	840421	-	1065	SAOUHSC_00875	11302	8841	7354	9108	8588	3375
gene-SAOUHSC_00876	CP000253.1	840738	840974	+	237	SAOUHSC_00876	1286	918	628	1948	3016	465
gene-SAOUHSC_00877	CP000253.1	840987	841346	+	360	SAOUHSC_00877	1849	1453	918	2981	3129	806
gene-SAOUHSC_00878	CP000253.1	841800	843008	+	1209	SAOUHSC_00878	17531	13461	10760	25361	27203	6334
gene-SAOUHSC_00879	CP000253.1	843139	844614	+	1476	SAOUHSC_00879	2241	1648	1151	2665	3687	486
gene-SAOUHSC_00880	CP000253.1	845025	846341	+	1317	SAOUHSC_00880	7956	6867	5331	9955	6424	1070
gene-SAOUHSC_00881	CP000253.1	846360	846734	+	375	SAOUHSC_00881	4855	4099	3194	4569	4755	767
gene-SAOUHSC_00882	CP000253.1	846790	847944	-	1155	SAOUHSC_00882	8364	4418	3584	341	474	67
gene-SAOUHSC_00883	CP000253.1	848193	848549	-	357	SAOUHSC_00883	2495	1634	1705	3710	4517	457
gene-SAOUHSC_00884	CP000253.1	848527	848820	-	294	SAOUHSC_00884	831	693	541	1433	1444	743
gene-SAOUHSC_00885	CP000253.1	848820	849299	-	480	SAOUHSC_00885	3023	2533	2422	5471	9280	811
gene-SAOUHSC_00886	CP000253.1	849301	850797	-	1497	SAOUHSC_00886	7681	6567	5281	13756	16283	2412
gene-SAOUHSC_00887	CP000253.1	850790	851119	-	330	SAOUHSC_00887	1814	1557	1209	3448	5223	507
gene-SAOUHSC_00888	CP000253.1	851131	851559	-	429	SAOUHSC_00888	1797	1473	1240	3767	4481	501
gene-SAOUHSC_00889	CP000253.1	851552	853957	-	2406	SAOUHSC_00889	9420	7998	5902	21966	28530	4098
gene-SAOUHSC_00890	CP000253.1	854088	854471	-	384	SAOUHSC_00890	392	227	239	502	590	52
gene-SAOUHSC_00891	CP000253.1	854535	855128	+	594	SAOUHSC_00891	4565	3301	2619	5100	5278	2591
gene-SAOUHSC_00892	CP000253.1	855577	855921	+	345	SAOUHSC_00892	5854	5366	3668	6989	8769	2171
gene-SAOUHSC_00893	CP000253.1	856283	857410	+	1128	SAOUHSC_00893	1663	1253	800	3290	5626	1770
gene-SAOUHSC_00894	CP000253.1	857718	858908	+	1191	SAOUHSC_00894	5378	5790	2936	15212	19479	2739
gene-SAOUHSC_00895	CP000253.1	859017	860261	+	1245	SAOUHSC_00895	17472	17173	10864	24337	31573	7505
gene-SAOUHSC_00896	CP000253.1	860487	860678	+	192	SAOUHSC_00896	2004	1807	1065	858	868	919
gene-SAOUHSC_00897	CP000253.1	860764	861693	-	930	SAOUHSC_00897	1287	986	1080	1188	1529	187
gene-SAOUHSC_00898	CP000253.1	861935	863314	-	1380	SAOUHSC_00898	33519	30242	43941	1904	8013	631
gene-SAOUHSC_00899	CP000253.1	863304	864509	-	1206	SAOUHSC_00899	17020	15221	21890	1254	7235	1333
gene-SAOUHSC_00900	CP000253.1	864860	866191	+	1332	SAOUHSC_00900	9900	7080	5537	21618	21581	3188
gene-SAOUHSC_00901	CP000253.1	866516	867091	+	576	SAOUHSC_00901	2664	1977	2103	4208	7130	401
gene-SAOUHSC_00902	CP000253.1	867096	867620	+	525	SAOUHSC_00902	2624	2271	2046	3798	5752	1136
gene-SAOUHSC_00903	CP000253.1	867744	868211	+	468	SAOUHSC_00903	2938	2530	1836	2828	3677	273
gene-SAOUHSC_00904	CP000253.1	868371	871847	+	3477	SAOUHSC_00904	6828	5673	4791	6367	7723	905
gene-SAOUHSC_00905	CP000253.1	871848	875501	+	3654	SAOUHSC_00905	13186	10662	9850	10920	13008	2385
gene-SAOUHSC_00906	CP000253.1	875667	876569	+	903	SAOUHSC_00906	9450	7646	5766	20087	25582	7521
gene-SAOUHSC_00907	CP000253.1	876898	877287	+	390	SAOUHSC_00907	1541	1079	1012	1554	1656	503
gene-SAOUHSC_00908	CP000253.1	877458	878774	-	1317	SAOUHSC_00908	6576	5856	3841	11909	13402	4822
gene-SAOUHSC_00909	CP000253.1	878826	879650	-	825	SAOUHSC_00909	3239	2643	2074	4124	4548	778
gene-SAOUHSC_00910	CP000253.1	879806	880072	+	267	SAOUHSC_00910	2923	3098	1926	5827	7456	915
gene-SAOUHSC_00911	CP000253.1	880619	882433	+	1815	SAOUHSC_00911	2957	1709	1907	580	550	38
gene-SAOUHSC_00912	CP000253.1	882636	885245	+	2610	SAOUHSC_00912	370983	361532	242779	59158	19004	1754
gene-SAOUHSC_00913	CP000253.1	885304	886173	-	870	SAOUHSC_00913	478	589	498	92	65	2
gene-SAOUHSC_00914	CP000253.1	886283	887428	+	1146	SAOUHSC_00914	639	896	629	63	47	4
gene-SAOUHSC_00915	CP000253.1	887412	888053	+	642	SAOUHSC_00915	312	448	388	75	84	10
gene-SAOUHSC_00916	CP000253.1	888046	889164	+	1119	SAOUHSC_00916	231	225	229	145	130	14
gene-SAOUHSC_00917	CP000253.1	889148	889663	+	516	SAOUHSC_00917	259	316	199	187	216	25
gene-SAOUHSC_00918	CP000253.1	889974	890408	+	435	SAOUHSC_00918	2082	1662	1760	735	676	474
gene-SAOUHSC_00919	CP000253.1	890665	890850	-	186	SAOUHSC_00919	1677	1348	1033	3829	2771	123
gene-SAOUHSC_00920	CP000253.1	891145	892086	+	942	SAOUHSC_00920	2069	1641	1596	4096	7695	3228
gene-SAOUHSC_00921	CP000253.1	892098	893342	+	1245	SAOUHSC_00921	8508	6824	6039	17900	27812	16679
gene-SAOUHSC_00922	CP000253.1	893397	893768	-	372	SAOUHSC_00922	91	51	48	302	262	14
gene-SAOUHSC_00923	CP000253.1	894011	894937	+	927	SAOUHSC_00923	564	439	416	5235	4855	470
gene-SAOUHSC_00924	CP000253.1	894937	896007	+	1071	SAOUHSC_00924	774	641	609	4839	5576	1100
gene-SAOUHSC_00925	CP000253.1	896024	897106	+	1083	SAOUHSC_00925	1567	1392	1434	7963	11653	3099
gene-SAOUHSC_00926	CP000253.1	897096	898037	+	942	SAOUHSC_00926	1781	1322	1744	8333	12497	3042
gene-SAOUHSC_00927	CP000253.1	898056	899711	+	1656	SAOUHSC_00927	7290	4956	6443	22710	30765	6603
gene-SAOUHSC_00928	CP000253.1	899923	901638	+	1716	SAOUHSC_00928	607	337	348	461	718	108
gene-SAOUHSC_00929	CP000253.1	901689	902675	+	987	SAOUHSC_00929	290	165	174	194	271	20
gene-SAOUHSC_00930	CP000253.1	902678	903658	+	981	SAOUHSC_00930	395	216	238	310	445	75
gene-SAOUHSC_00931	CP000253.1	903651	904613	+	963	SAOUHSC_00931	396	201	265	773	963	52
gene-SAOUHSC_00932	CP000253.1	904625	905506	+	882	SAOUHSC_00932	641	388	430	441	561	136
gene-SAOUHSC_00933	CP000253.1	905548	906537	-	990	SAOUHSC_00933	4150	2803	3347	5226	6504	543
gene-SAOUHSC_00934	CP000253.1	906832	907227	+	396	SAOUHSC_00934	377314	306689	283089	203599	252830	36562
gene-SAOUHSC_00935	CP000253.1	907598	908317	+	720	SAOUHSC_00935	34313	29854	19274	31544	39610	3339
gene-SAOUHSC_00936	CP000253.1	908438	909424	+	987	SAOUHSC_00936	307	248	255	90	149	12
gene-SAOUHSC_00937	CP000253.1	909472	911280	+	1809	SAOUHSC_00937	1374	910	795	5947	8278	829
gene-SAOUHSC_00938	CP000253.1	911740	912546	-	807	SAOUHSC_00938	3428	2576	2193	3554	4270	467
gene-SAOUHSC_00939	CP000253.1	912569	912886	-	318	SAOUHSC_00939	1395	999	813	2215	2638	196
gene-SAOUHSC_00940	CP000253.1	913038	913631	-	594	SAOUHSC_00940	624	437	341	1342	1010	74
gene-SAOUHSC_00941	CP000253.1	913817	914164	+	348	SAOUHSC_00941	1503	1216	1033	2084	2998	123
gene-SAOUHSC_00942	CP000253.1	914181	914816	+	636	SAOUHSC_00942	4080	3414	2633	4850	6845	965
gene-SAOUHSC_00943	CP000253.1	914833	915642	+	810	SAOUHSC_00943	7014	5785	4552	7203	8067	1558
gene-SAOUHSC_00944	CP000253.1	915639	916493	+	855	SAOUHSC_00944	2336	1714	1651	2455	3416	471
gene-SAOUHSC_00945	CP000253.1	916514	917899	+	1386	SAOUHSC_00945	3636	3198	2790	3903	6290	1154
gene-SAOUHSC_00946	CP000253.1	917909	919753	+	1845	SAOUHSC_00946	6153	5052	4742	7491	8817	1212
gene-SAOUHSC_00947	CP000253.1	920031	920801	+	771	SAOUHSC_00947	11155	8697	7362	13964	13800	1617
gene-SAOUHSC_00948	CP000253.1	920996	922081	-	1086	SAOUHSC_00948	4052	3313	2962	12196	12179	681
gene-SAOUHSC_00949	CP000253.1	922423	923991	+	1569	SAOUHSC_00949	1119	1148	726	17341	19955	2329
gene-SAOUHSC_00950	CP000253.1	924133	924891	+	759	SAOUHSC_00950	846	729	626	2369	2413	257
gene-SAOUHSC_00951	CP000253.1	925085	925594	+	510	SAOUHSC_00951	9987	7090	6452	13990	15292	1083
gene-SAOUHSC_00952	CP000253.1	925707	926915	-	1209	SAOUHSC_00952	6782	4457	4537	3499	3109	278
gene-SAOUHSC_00953	CP000253.1	926875	928050	-	1176	SAOUHSC_00953	7415	5459	4960	5952	6899	629
gene-SAOUHSC_00954	CP000253.1	928483	929964	+	1482	SAOUHSC_00954	5007	4137	3992	4832	6208	1668
gene-SAOUHSC_00955	CP000253.1	929948	930208	+	261	SAOUHSC_00955	920	635	928	753	1432	199
gene-SAOUHSC_00956	CP000253.1	930208	931770	+	1563	SAOUHSC_00956	11046	8140	9584	7731	9902	2202
gene-SAOUHSC_00957	CP000253.1	932072	932875	+	804	SAOUHSC_00957	3831	3419	2436	8413	6987	4118
gene-SAOUHSC_00958	CP000253.1	933094	935418	+	2325	SAOUHSC_00958	2680	2000	2046	2191	3043	262
gene-SAOUHSC_00959	CP000253.1	935435	936793	+	1359	SAOUHSC_00959	7426	5489	6069	4632	5718	545
gene-SAOUHSC_00960	CP000253.1	936932	938443	+	1512	SAOUHSC_00960	3012	1987	2077	4383	4807	726
gene-SAOUHSC_T00049	CP000253.1	938623	938711	-	89	SAOUHSC_T00049	275	213	108	163	11	304
gene-SAOUHSC_T0008	CP000253.1	938714	938788	-	75	SAOUHSC_T0008	298	237	283	111	46	74
gene-SAOUHSC_00961	CP000253.1	938930	939460	-	531	SAOUHSC_00961	15738	9755	17190	538	557	54
gene-SAOUHSC_00962	CP000253.1	939709	939927	+	219	SAOUHSC_00962	2844	3017	1636	40355	64057	13465
gene-SAOUHSC_00963	CP000253.1	940008	940994	-	987	SAOUHSC_00963	1598	1314	1007	2441	3614	268
gene-SAOUHSC_00964	CP000253.1	941193	941369	+	177	SAOUHSC_00964	1832	1604	1295	2169	2364	81
gene-SAOUHSC_00965	CP000253.1	941384	941986	+	603	SAOUHSC_00965	6259	4493	5094	7908	6150	685
gene-SAOUHSC_00966	CP000253.1	942257	942364	+	108	SAOUHSC_00966	2447	2125	1168	2260	806	1533
gene-SAOUHSC_00967	CP000253.1	942903	943004	+	102	SAOUHSC_00967	12	20	16	7	15	1
gene-SAOUHSC_00968	CP000253.1	943330	945294	+	1965	SAOUHSC_00968	413	260	309	937	958	121
gene-SAOUHSC_00969	CP000253.1	945297	945617	+	321	SAOUHSC_00969	223	131	203	222	288	26
gene-SAOUHSC_00970	CP000253.1	945614	946255	+	642	SAOUHSC_00970	592	395	432	406	303	49
gene-SAOUHSC_00971	CP000253.1	946343	946633	-	291	SAOUHSC_00971	1001	532	1011	1022	288	43
gene-SAOUHSC_00972	CP000253.1	946912	947199	+	288	SAOUHSC_00972	114	77	83	382	365	21
gene-SAOUHSC_00973	CP000253.1	947205	947912	+	708	SAOUHSC_00973	364	250	337	980	811	76
gene-SAOUHSC_00974	CP000253.1	947905	948687	+	783	SAOUHSC_00974	2205	1412	1499	1622	1755	90
gene-SAOUHSC_00975	CP000253.1	948776	949132	-	357	SAOUHSC_00975	855	578	568	4140	3576	105
gene-SAOUHSC_00976	CP000253.1	949716	950579	+	864	SAOUHSC_00976	1228	1013	1062	321	292	59
gene-SAOUHSC_00977	CP000253.1	950625	950756	-	132	SAOUHSC_00977	499	489	277	2330	2826	210
gene-SAOUHSC_00978	CP000253.1	950820	951110	-	291	SAOUHSC_00978	87	77	73	160	127	8
gene-SAOUHSC_00979	CP000253.1	951200	951751	+	552	SAOUHSC_00979	438	302	296	653	710	66
gene-SAOUHSC_00980	CP000253.1	951802	952740	-	939	SAOUHSC_00980	8408	5243	6914	4299	4702	526
gene-SAOUHSC_00981	CP000253.1	952891	952995	+	105	SAOUHSC_00981	337	250	186	153	112	20
gene-SAOUHSC_00982	CP000253.1	953072	954283	+	1212	SAOUHSC_00982	2756	1882	1693	1394	1529	128
gene-SAOUHSC_00983	CP000253.1	954270	955943	+	1674	SAOUHSC_00983	7559	5600	4228	6797	8677	2107
gene-SAOUHSC_00984	CP000253.1	955930	956733	+	804	SAOUHSC_00984	4921	3288	3083	3680	4221	658
gene-SAOUHSC_00985	CP000253.1	956726	957547	+	822	SAOUHSC_00985	12085	9486	6950	11665	11491	3672
gene-SAOUHSC_00986	CP000253.1	957786	958115	-	330	SAOUHSC_00986	2089	1082	1808	327	444	52
gene-SAOUHSC_00987	CP000253.1	958153	959334	-	1182	SAOUHSC_00987	5763	3173	5351	1007	1097	130
gene-SAOUHSC_00988	CP000253.1	959416	960426	-	1011	SAOUHSC_00988	4210	2277	3978	637	683	204
gene-SAOUHSC_00989	CP000253.1	960954	962108	-	1155	SAOUHSC_00989	2667	2356	1789	8728	13371	1429
gene-SAOUHSC_00991	CP000253.1	962304	963314	-	1011	SAOUHSC_00991	930	671	774	1454	1262	81
gene-SAOUHSC_00992	CP000253.1	963467	963886	+	420	SAOUHSC_00992	1640	1058	1449	299	260	16
gene-SAOUHSC_00993	CP000253.1	963913	964023	+	111	SAOUHSC_00993	339	221	293	63	41	2
gene-SAOUHSC_00994	CP000253.1	964093	967863	-	3771	SAOUHSC_00994	25407	23937	23958	62164	62506	18945
gene-SAOUHSC_00995	CP000253.1	968091	968525	-	435	SAOUHSC_00995	551	421	406	685	833	191
gene-SAOUHSC_00996	CP000253.1	968680	969150	-	471	SAOUHSC_00996	14182	8588	10075	7520	9170	573
gene-SAOUHSC_00997	CP000253.1	969198	970415	-	1218	SAOUHSC_00997	26302	17345	19682	16141	23675	3263
gene-SAOUHSC_00998	CP000253.1	970866	972059	+	1194	SAOUHSC_00998	12215	7952	11556	2056	1960	91
gene-SAOUHSC_00999	CP000253.1	972596	972874	-	279	SAOUHSC_00999	12045	11143	7193	19382	14700	2401
gene-SAOUHSC_01000	CP000253.1	972883	973488	-	606	SAOUHSC_01000	24853	23250	16720	39644	40188	10828
gene-SAOUHSC_01001	CP000253.1	973478	975466	-	1989	SAOUHSC_01001	73212	72072	53963	131576	148876	56497
gene-SAOUHSC_01002	CP000253.1	975466	976566	-	1101	SAOUHSC_01002	30609	31942	23069	71270	85454	18297
gene-SAOUHSC_01003	CP000253.1	976868	976990	+	123	SAOUHSC_01003	81	42	85	38	46	4
gene-SAOUHSC_01005	CP000253.1	977138	977455	-	318	SAOUHSC_01005	24303	20215	18108	9863	18084	759
gene-SAOUHSC_01007	CP000253.1	978261	979121	-	861	SAOUHSC_01007	19837	14096	13907	11982	14961	1713
gene-SAOUHSC_01008	CP000253.1	979385	979804	+	420	SAOUHSC_01008	1784	1938	1220	7004	7387	3190
gene-SAOUHSC_01009	CP000253.1	979791	980915	+	1125	SAOUHSC_01009	5031	5614	3844	14328	23914	3865
gene-SAOUHSC_01010	CP000253.1	980919	981623	+	705	SAOUHSC_01010	1514	1596	1144	4099	7397	1798
gene-SAOUHSC_01011	CP000253.1	981623	981886	+	264	SAOUHSC_01011	1208	1134	884	2915	3565	459
gene-SAOUHSC_01012	CP000253.1	981888	982559	+	672	SAOUHSC_01012	3544	3517	2704	7481	13394	2257
gene-SAOUHSC_01013	CP000253.1	982552	984741	+	2190	SAOUHSC_01013	19994	17809	14868	41318	42541	14856
gene-SAOUHSC_01014	CP000253.1	984720	986204	+	1485	SAOUHSC_01014	21426	17484	16360	40660	45024	8943
gene-SAOUHSC_01015	CP000253.1	986197	987225	+	1029	SAOUHSC_01015	17874	15324	14717	32412	41213	12011
gene-SAOUHSC_01016	CP000253.1	987228	987794	+	567	SAOUHSC_01016	11612	9658	9666	18959	29133	4551
gene-SAOUHSC_01017	CP000253.1	987809	989287	+	1479	SAOUHSC_01017	34318	28793	28036	51131	75158	15894
gene-SAOUHSC_01018	CP000253.1	989309	990556	+	1248	SAOUHSC_01018	50613	36900	40198	62647	70869	23303
gene-SAOUHSC_01019	CP000253.1	990821	991627	-	807	SAOUHSC_01019	2560	1544	2385	1012	1064	72
gene-SAOUHSC_01021	CP000253.1	991620	993020	-	1401	SAOUHSC_01021	6518	5297	5645	4273	4516	964
gene-SAOUHSC_01022	CP000253.1	993035	993610	-	576	SAOUHSC_01022	1606	1280	1392	2304	2491	488
gene-SAOUHSC_01023	CP000253.1	993974	994093	+	120	SAOUHSC_01023	215	183	199	42	45	11
gene-SAOUHSC_01024	CP000253.1	994194	994328	-	135	SAOUHSC_01024	1469	1354	750	5111	5030	98
gene-SAOUHSC_01025	CP000253.1	994480	995775	+	1296	SAOUHSC_01025	16653	15506	13527	25939	31803	5308
gene-SAOUHSC_01026	CP000253.1	996200	997372	+	1173	SAOUHSC_01026	1388	1198	1008	2627	4032	528
gene-SAOUHSC_01027	CP000253.1	997426	997968	+	543	SAOUHSC_01027	7850	7273	5043	20034	14677	5883
